parabola_slope,midpoint,Na_arc,Na_rad,N_col,max_mass,bridge_weight,max_L
6,0.0,2,20,10,24.451778516865225,3.0695595203092836,0.375
6,0.0,2,20,20,24.453754800610657,6.0947571732850285,0.375
6,0.0,10,2,2,28.821950950365075,0.12933114921508704,0.45069390943299864
6,0.0,10,2,10,76.22410157040538,0.15831865339571863,0.375
6,0.0,10,2,20,126.96150670574416,0.1888755635193301,0.375
6,0.0,10,10,2,539.5795373619485,0.29245850483236974,0.45069390943299864
6,0.0,10,10,10,611.2944629216255,0.8937872666426466,0.375
6,0.0,10,10,20,611.3438700153988,1.6503886849465221,0.375
6,0.0,10,20,2,539.5795373619486,0.802231491136378,0.45069390943299864
6,0.0,10,20,10,611.294462921628,3.1921266830392963,0.375
6,0.0,10,20,20,611.343870015399,6.217617189406496,0.375
6,0.0,20,2,2,28.821950950365075,0.49693367740818783,0.45069390943299864
6,0.0,20,2,10,76.22410157040582,0.5413410369270085,0.375
6,0.0,20,2,20,126.96150670574875,0.5728131138989215,0.375
6,0.0,20,10,2,720.5487737591269,0.6600610330254706,0.45069390943299864
6,0.0,20,10,10,1905.6025392601503,1.2768096501739363,0.375
6,0.0,20,10,20,2445.375480061571,2.034326235326114,0.375
6,0.0,20,20,2,2158.318149447794,1.169834019329479,0.45069390943299864
6,0.0,20,20,10,2445.177851686502,3.5751490665705865,0.375
6,0.0,20,20,20,2445.375480061595,6.6015547397860885,0.375
6,0.16,2,2,2,6.055606045517719,0.010467451221144213,0.4506939094330344
6,0.16,2,2,10,13.04177017532092,0.027283140435402215,0.2968164415931454
6,0.16,2,2,20,13.341418846763561,0.04870265738572017,0.2968164415931454
6,0.16,2,10,2,56.18260768429921,0.14405347150680378,0.4506939094330344
6,0.16,2,10,10,330.574189895087,0.559350674207912,0.2968164415931454
6,0.16,2,10,20,331.4291353143324,1.0946694305331583,0.2968164415931454
6,0.16,2,20,2,212.82948780549137,0.5615097848994899,0.4506939094330344
6,0.16,2,20,10,1249.6917915971153,2.2220617172470045,0.2968164415931454
6,0.16,2,20,20,1255.565035053152,4.363315596618903,0.2968164415931454
6,0.16,10,2,2,25.639877963184134,0.1281002602429458,0.4506939094330344
6,0.16,10,2,10,62.97951754454933,0.15001097711254568,0.2968164415931454
6,0.16,10,2,20,91.87886380273783,0.1715996614955662,0.2968164415931454
6,0.16,10,10,2,761.9009738974796,0.2616862805286054,0.4506939094330344
6,0.16,10,10,10,911.4139337610205,0.6820785108850554,0.2968164415931454
6,0.16,10,10,20,892.6411849477456,1.217566434643004,0.2968164415931454
6,0.16,10,20,2,1904.9622653816427,0.6791425939212915,0.4506939094330344
6,0.16,10,20,10,1830.5315354630375,2.344789553924148,0.2968164415931454
6,0.16,10,20,20,1816.777084686571,4.486212600728749,0.2968164415931454
6,0.16,20,2,2,27.468890942922933,0.49570278843607574,0.4506939094330344
6,0.16,20,2,10,76.16517406196806,0.533535466728619,0.2968164415931454
6,0.16,20,2,20,123.80353600404851,0.555652799338835,0.2968164415931454
6,0.16,20,10,2,987.0165049043823,0.6292888087217353,0.4506939094330344
6,0.16,20,10,10,2121.4692353128844,1.0656030005011288,0.2968164415931454
6,0.16,20,10,20,2396.8657127241763,1.6016195724862732,0.2968164415931454
6,0.16,20,20,2,3047.6038955899185,1.0467451221144215,0.4506939094330344
6,0.16,20,20,10,3645.655735044082,2.728314043540222,0.2968164415931454
6,0.16,20,20,20,3570.5647397909825,4.870265738572016,0.2968164415931454
